country,value
Austria,481673
 Belgium,798014
Bulgaria,272700
Croatia,248838
Cyprus,38496
Czechia,1376998
Denmark,218660
Estonia,82286
Finland,64609
France,3990331
Germany,2545781
Greece,214661
Hungary,498183
Iceland,6070
Ireland,225179
Italy,3149017
Latvia,92274
Liechtenstein,2677
Lithuania,204356
Luxembourg,57321
Malta,25640
Netherlands,1137355
Norway,77168
Poland,1849424
Portugal,812575
Romania,845352
Slovakia,331571
Slovenia,198234
Spain,3178356
Sweden,707192
